c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumtorquerate,sumwork,sumworkrate,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumtorquerate2,sumwork2,sumworkrate2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,1,2,0.581,41,1,0.6029,7.965,0.69245,6.2242,15.345,882.59,15581,0.1483,0.07395,0.49088,41.07,0.57255,44.356,2.8537,8704.5,2.8488e+10,0.012482,0.038301,24.878,14.138,11.98,58.714,8.371,1.6907e-05,6688.4
1,1,3,0.645,14.9,1,0.49083,5.8822,0.50078,4.0311,11.971,712.54,11682,0.13687,0.062275,0.3207,22.129,0.30045,18.652,1.9608,5778.7,1.8811e+10,0.010594,0.029533,23.037,12.227,9.7378,51.861,5.8667,1.5937e-05,4690.7
1,1,4,0.85,22.3,1,0.22664,2.2275,0.13842,0.78998,5.9793,328.29,5709.5,0.078445,0.032747,0.06599,2.926,0.020359,0.59539,0.64146,1681.1,6.9006e+09,0.0033797,0.010977,17.533,7.2409,4.319,31.327,1.574,9.6294e-06,1274.1
1,1,5,0.995,3.13,1,0.13788,1.4359,0.058008,0.33159,3.9758,200.84,3284.6,0.057468,0.02631,0.025307,1.2483,0.0034089,0.090604,0.34078,665.28,2.7477e+09,0.0020139,0.0079115,16.431,6.316,3.1285,22.769,0.67882,7.92e-06,614.58
1,1,6,1.23,30,1,0.088772,0.9993,0.02855,0.18493,2.3745,129.28,2293.2,0.04766,0.022811,0.012297,0.79895,0.00092408,0.042154,0.13452,322.79,1.4809e+09,0.001586,0.0066182,15.918,5.9472,2.577,20.23,0.37137,5.8516e-06,358.21
1,1,7,1.38,23,1,0.071577,0.89942,0.019464,0.14563,1.8738,107.15,1739.1,0.04432,0.022986,0.0079801,0.69234,0.00043702,0.028359,0.12537,217.53,1.0153e+09,0.0012303,0.0065979,15.441,5.7998,2.5195,17.689,0.27385,6.158e-06,271.86
1,2,2,0.544,154,1,0.86519,11.981,0.97926,9.2708,19.989,1270.8,20282,0.18845,0.094546,0.9763,88.167,1.1348,96.621,4.4701,17050,5.0038e+10,0.01755,0.054912,28.785,17.828,16.032,69.817,12.696,2.187e-05,10975
1,2,3,0.616,54,1,0.63496,7.9673,0.5878,4.9124,14.443,918.34,15034,0.16252,0.076487,0.51315,38.695,0.39372,26.651,2.432,8984.5,2.9704e+10,0.013306,0.038769,26.285,14.77,11.969,61.268,7.9346,2.0311e-05,6618.6
1,2,4,0.821,31.5,1,0.30546,3.1039,0.18871,1.1661,7.7918,453.79,8283.5,0.10308,0.043025,0.12666,7.2523,0.041536,1.8033,1.0414,2836.4,1.4106e+10,0.0054426,0.016677,19.022,8.6751,5.8594,39.571,2.5933,1.3242e-05,2234.8
1,2,5,1.05,42.1,1,0.17215,2.0483,0.074053,0.52019,4.5572,249.22,4376.5,0.073516,0.032439,0.04753,3.2884,0.0068762,0.35472,0.45755,1057.2,4.7543e+09,0.0030799,0.01086,16.736,7.0328,3.8583,31.097,0.97556,8.0614e-06,905.17
