c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,1,2,0.581,41,1,0.73787,15.85,985.8,14866,0.22747,0.10131,0.52523,3.0658,8448.6,2.4834e+10,0.015758,0.041863,87.482,33.691,13.717,79.445,6.3115,3.3367e-05,6423.7
1,1,3,0.645,14.9,1,0.54728,12.216,726.54,10269,0.18629,0.076815,0.29634,2.0434,4995.7,1.4043e+10,0.011692,0.028266,80.772,29.496,10.206,66.678,4.229,2.6615e-05,3838.5
1,1,4,0.85,22.3,1,0.23226,6.1185,322.17,4725.8,0.10166,0.035289,0.048298,0.67169,1196.1,4.9217e+09,0.003964,0.0093049,58.404,19.25,4.2994,36.074,1.116,1.4565e-05,987.27
1,1,5,0.995,3.13,1,0.14806,4.0851,209.88,3064.4,0.087837,0.026263,0.017708,0.35747,472.51,2.4985e+09,0.0033019,0.0062825,49.916,16.18,2.9911,30.266,0.47395,1.24e-05,446.19
1,1,6,1.23,30,1,0.097676,2.4883,139.48,2271.1,0.069329,0.02083,0.007982,0.14704,211.89,1.489e+09,0.0024521,0.0051954,42.496,13.693,2.2748,25.825,0.22316,8.8533e-06,263.2
1,1,7,1.38,23,1,0.079572,1.9601,113.16,1887.1,0.06537,0.018745,0.005422,0.13334,145.53,1.1214e+09,0.0028403,0.0046551,37.055,11.95,2.0122,20.227,0.15395,8.4313e-06,213.49
1,2,2,0.544,154,1,1.0155,20.863,1361.9,18731,0.27596,0.12553,1.0051,4.95,15810,4.0613e+10,0.020634,0.058017,96.565,38.859,17.699,92.343,9.1419,4.3982e-05,9759.4
1,2,3,0.616,54,1,0.66774,15.062,886.97,12448,0.218,0.087587,0.42911,2.6635,6893.8,1.9169e+10,0.013866,0.033464,88.027,32.543,11.869,77.727,5.0906,3.3159e-05,5061.2
1,2,4,0.821,31.5,1,0.3067,8.0572,412.73,6721.6,0.12169,0.041275,0.096013,1.1159,2158.5,9.9042e+09,0.0051038,0.013589,58.498,19.812,5.1797,39.279,1.4619,1.8399e-05,1487.1
1,2,5,1.05,42.1,1,0.17231,4.6905,236.13,3605.1,0.084493,0.027197,0.032864,0.48333,843.24,3.3379e+09,0.002793,0.0071593,47.377,15.522,3.137,29.852,0.56595,1.1721e-05,605.44
1,2,6,1.17,55.5,1,0.11915,3.4283,168.61,2651,0.071068,0.025942,0.018675,0.26822,514.67,2.2132e+09,0.0019755,0.0059711,42.551,13.933,2.8152,26.989,0.3336,9.9233e-06,386.04
1,2,7,1.35,37.2,1,0.10104,3.0023,143.52,2268.5,0.069767,0.018793,0.010367,0.26926,295.69,1.7957e+09,0.002346,0.0046539,37.454,12.093,2.0596,22.514,0.22424,8.9402e-06,234.68
1,3,2,0.558,65,1,1.3259,19.407,1742.2,22793,0.38842,0.1489,1.6261,4.6952,25699,5.8473e+10,0.040164,0.077606,97.687,42.734,20.755,145.98,9.9323,5.187e-05,14354
1,3,3,0.665,13.2,1,0.82959,12.62,1054.4,13920,0.25252,0.096769,0.61763,2.1862,9829.5,2.8031e+10,0.019899,0.040976,79.005,31.048,12.617,99.199,4.7054,3.4544e-05,6564.8
1,3,4,0.85,20.6,1,0.35841,7.0528,461.06,6337.6,0.18498,0.051749,0.12125,0.9788,1973,6.5246e+09,0.014576,0.019825,57.289,20.663,6.3259,85.506,1.2824,1.8303e-05,1972.8
1,3,5,1.1,8.07,1,0.18157,3.8662,236.08,3770.1,0.10063,0.027724,0.031025,0.37148,543.76,2.9161e+09,0.0045368,0.0095765,43.346,14.495,3.2831,42.839,0.41926,1.19e-05,606.84
1,3,6,1.28,3.42,1,0.14463,2.831,188.19,3249.5,0.10233,0.025604,0.017345,0.22219,303.58,2.4949e+09,0.0060606,0.0084358,39.082,13.158,2.8165,44.639,0.25657,9.2395e-06,390.46
1,4,2,0.624,58.3,1,0.68446,14.159,929.34,11290,0.236,0.10249,0.43496,2.5277,7013.7,1.6865e+10,0.014382,0.041266,88.54,33.947,13.564,83.686,5.7609,3.6652e-05,5680.9
1,4,3,0.733,14.2,1,0.37995,8.5935,520.15,6910.7,0.15182,0.057295,0.13454,1.1197,2892.2,9.4438e+09,0.0065962,0.017343,69.522,23.988,7.0033,52.064,2.2715,2.2407e-05,2195.8
1,4,4,0.851,13.4,1,0.22828,5.7041,306.11,4419.3,0.10002,0.031801,0.046647,0.57623,1148.2,4.5397e+09,0.003536,0.0093083,56.693,18.702,3.9086,32.218,0.9843,1.3954e-05,929.22
1,4,5,1.09,22.5,1,0.12963,3.4625,176.31,2638.9,0.078555,0.021334,0.014022,0.27831,342.52,1.8232e+09,0.0025163,0.0051892,46.415,14.94,2.4371,26.174,0.37379,1.0441e-05,346.34
1,4,6,1.29,3.84,1,0.090112,2.4582,124.75,1873.8,0.066148,0.018484,0.0076025,0.17129,195.56,1.1095e+09,0.0020635,0.0047287,40.085,12.897,2.059,21.451,0.21592,8.2412e-06,211.68
1,5,1,0.529,141,1,1.3805,23.478,1795,26024,0.35817,0.14408,1.897,6.9402,28668,7.6092e+10,0.030522,0.076375,93.483,41.437,21.476,111.42,12.335,5.6142e-05,13969
1,5,2,0.591,125,1,1.1226,19.367,1493.7,21225,0.34085,0.1342,1.1782,4.56,17873,5.0147e+10,0.026813,0.06574,89.857,38.166,18.642,118.06,8.9179,4.9741e-05,10556
