c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,1,2,0.581,41,1,0.73787,15.85,985.99,14867,0.2276,0.10085,0.52523,3.0658,8449.6,2.4834e+10,0.015762,0.041731,87.39,33.636,13.669,79.412,6.3157,3.3433e-05,6429.2
1,1,3,0.645,14.9,1,0.54728,12.216,726.56,10270,0.18633,0.076784,0.29634,2.0434,4995.7,1.4043e+10,0.011693,0.028222,80.793,29.494,10.204,66.682,4.229,2.6624e-05,3838.6
1,1,4,0.85,22.3,1,0.23226,6.1185,322.19,4726.1,0.10165,0.035251,0.048298,0.67169,1196.2,4.9218e+09,0.0039637,0.0092675,58.393,19.243,4.2925,36.079,1.116,1.4563e-05,987.3
1,1,5,0.995,3.13,1,0.14806,4.0851,209.88,3064.5,0.087839,0.026274,0.017708,0.35747,472.53,2.4985e+09,0.0033019,0.0062833,49.918,16.181,2.9919,30.271,0.4738,1.2399e-05,446.2
1,1,6,1.23,30,1,0.097676,2.4883,139.48,2271.1,0.069339,0.020834,0.007982,0.14704,211.89,1.4889e+09,0.0024521,0.0051857,42.495,13.692,2.2751,25.829,0.22316,8.8595e-06,263.21
1,1,7,1.38,23,1,0.079572,1.9601,113.16,1887.1,0.065367,0.01874,0.005422,0.13334,145.53,1.1214e+09,0.0028403,0.0046538,37.054,11.949,2.0128,20.231,0.15396,8.4302e-06,213.5
1,2,2,0.544,154,1,1.0155,20.863,1362.2,18729,0.2761,0.12543,1.0051,4.95,15812,4.0613e+10,0.020654,0.0582,96.559,38.857,17.699,92.548,9.1513,4.3952e-05,9775.8
1,2,3,0.616,54,1,0.66774,15.062,886.74,12455,0.21978,0.087753,0.42911,2.6635,6893.7,1.9176e+10,0.013932,0.033619,88.044,32.573,11.888,77.938,5.0855,3.3212e-05,5056.2
1,2,4,0.821,31.5,1,0.3067,8.0572,412.75,6719.7,0.12166,0.041204,0.096013,1.1159,2158.6,9.9037e+09,0.0050982,0.013555,58.475,19.801,5.1741,39.272,1.4619,1.8404e-05,1487.4
1,2,5,1.05,42.1,1,0.17231,4.6905,236.14,3605.3,0.084532,0.027154,0.032864,0.48333,843.23,3.3379e+09,0.0027987,0.0071606,47.364,15.517,3.1339,29.858,0.56596,1.1726e-05,605.49
1,2,6,1.17,55.5,1,0.11915,3.4283,168.61,2651,0.07107,0.025942,0.018675,0.26822,514.7,2.2132e+09,0.0019753,0.0059663,42.553,13.934,2.814,26.994,0.33368,9.9231e-06,386.06
