c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,1,2,0.581,41,1,0.5016,9.9218,661.66,9428.9,0.11349,0.049581,0.30118,1.3071,6293.5,1.0464e+10,0.0083056,0.024027,22.039,10.851,8.0257,47.776,4.531,1.343e-05,3471
1,1,3,0.645,14.9,1,0.43644,8.5642,583.74,7920.3,0.099962,0.042707,0.21971,1.0408,5271.5,1.1276e+10,0.0054849,0.018604,21.27,9.4299,6.6483,39.319,3.4233,1.2676e-05,2591.6
1,1,4,0.85,22.3,1,0.24331,4.8229,322.74,4373.9,0.07039,0.026425,0.068108,0.44089,1599.7,4.4521e+09,0.0029744,0.008783,18.603,7.1272,3.6166,28.541,1.268,9.6295e-06,1089.8
1,1,5,0.995,3.13,1,0.17009,3.3804,225.09,2991.6,0.057649,0.019789,0.032468,0.25599,756.17,2.5324e+09,0.0021212,0.0052102,17.752,6.3159,2.5052,23.807,0.69933,8.24e-06,638.83
1,1,6,1.23,30,1,0.11275,2.2214,145.35,2113.3,0.053166,0.014622,0.013896,0.13504,270.18,1.4057e+09,0.0023927,0.0034384,16.683,5.6716,1.7509,19.67,0.37758,7.1201e-06,380.56
1,1,7,1.38,23,1,0.081556,1.6112,108.42,1558.5,0.039152,0.010369,0.0076313,0.086931,188.5,9.6433e+08,0.0012656,0.001956,15.109,4.9394,1.2067,16.491,0.23345,5.3363e-06,215.84
1,2,2,0.544,154,1,0.69378,12.758,881.06,11478,0.14335,0.061546,0.54457,1.9534,8688.1,1.5946e+10,0.011945,0.03286,24.387,12.963,10.341,55.108,6.2152,1.8363e-05,5361.4
1,2,3,0.616,54,1,0.59866,10.845,759.35,9761.4,0.13669,0.055374,0.39485,1.53,6344.8,1.2342e+10,0.01034,0.027319,24.338,12.09,8.8736,53.243,4.7427,1.7268e-05,3989.7
1,2,4,0.821,31.5,1,0.30219,5.4756,395.36,5907.4,0.075063,0.025078,0.10865,0.57767,2555.1,7.9997e+09,0.0034486,0.0088386,17.017,6.6924,3.6053,28.607,1.5402,1.0008e-05,1413.5
1,2,5,1.05,42.1,1,0.1903,3.4473,247.18,3628,0.057457,0.017104,0.041969,0.28538,979.3,3.7137e+09,0.0021909,0.0048023,15.644,5.63,2.2307,22.248,0.71947,7.8003e-06,728.97
1,2,6,1.17,55.5,1,0.13946,2.5356,181.78,2753.6,0.047839,0.013127,0.023831,0.18769,581,2.6011e+09,0.0016587,0.0033337,14.451,4.9998,1.6549,18.584,0.46187,6.5462e-06,466.51
1,2,7,1.35,37.2,1,0.10928,1.9736,142.76,2042.2,0.043255,0.010622,0.013933,0.12639,341.88,1.6058e+09,0.0014241,0.0024175,14.292,4.7857,1.2981,17.059,0.30883,5.7763e-06,314.74
1,3,2,0.558,65,1,0.93175,11.367,1174,14982,0.22161,0.083546,0.92909,1.5872,14244,2.5793e+10,0.023389,0.044782,28.414,16.269,13.191,102.33,6.9854,2.3393e-05,8154.9
1,3,3,0.665,13.2,1,0.67393,7.999,844.85,10185,0.18798,0.062738,0.47253,0.93967,7236.6,1.4402e+10,0.017738,0.029302,25.229,12.76,9.2401,89.459,3.878,1.9579e-05,4906.9
1,3,4,0.85,20.6,1,0.38339,4.6106,479.71,6113.1,0.13324,0.039185,0.16382,0.42878,2543.1,6.6705e+09,0.010829,0.015767,20.497,8.9234,5.2698,66.18,1.5441,1.34e-05,2116.7
1,3,5,1.1,8.07,1,0.22193,2.6587,276.59,4348.1,0.095512,0.020828,0.054426,0.18809,867.7,4.2566e+09,0.0068914,0.0059766,16.15,6.0948,2.5518,50.173,0.6368,7.2563e-06,834.8
1,3,6,1.28,3.42,1,0.16694,1.999,209.72,3350.7,0.083932,0.016493,0.030223,0.12251,503.05,2.8274e+09,0.0055677,0.0042402,15.583,5.5754,1.9548,44.696,0.41128,6.3256e-06,523.78
1,4,2,0.624,58.3,1,0.49249,8.8639,622.15,7796.6,0.11765,0.044079,0.26609,1.0366,4470.6,8.1627e+09,0.0085056,0.020291,21.529,10.189,6.9809,47.566,3.737,1.3806e-05,3014.7
1,4,3,0.733,14.2,1,0.33552,6.0299,440.55,5853.2,0.082314,0.028976,0.12806,0.59775,3083.4,7.5089e+09,0.0038874,0.011072,18.184,7.3688,4.3245,31.362,1.9842,1.0655e-05,1626.4
1,4,4,0.851,13.4,1,0.25001,4.5112,326.2,4205,0.068969,0.024062,0.068725,0.37888,1617.2,4.3815e+09,0.0028287,0.0078605,17.731,6.7381,3.2809,27.192,1.1755,9.3521e-06,1068.4
1,4,5,1.09,22.5,1,0.15351,2.7889,199.56,2673.5,0.053549,0.015105,0.026119,0.18659,615.5,2.1698e+09,0.0018687,0.0039199,16.056,5.6002,1.921,20.924,0.5488,7.1137e-06,507.64
1,4,6,1.29,3.84,1,0.1049,1.8996,137.09,1942.7,0.045333,0.010233,0.012249,0.10638,297.71,1.3712e+09,0.0016083,0.0022321,14.766,4.9099,1.2472,18.322,0.30864,5.5452e-06,282.28
1,5,1,0.529,141,1,0.83898,13.01,1075.6,16012,0.18527,0.079358,0.81949,1.9766,12359,2.4902e+10,0.01692,0.044972,26.678,15.373,12.986,80.136,7.483,1.9659e-05,7579.2
1,5,2,0.591,125,1,0.70675,10.565,903.61,12000,0.16753,0.06993,0.55707,1.449,8531.9,1.7011e+10,0.013936,0.03401,26.112,13.827,10.684,77.205,5.3414,1.8628e-05,5433.6
1,5,3,0.669,56.5,1,0.52623,7.7739,671.92,9628.9,0.14003,0.053948,0.31862,0.93345,4925.8,1.1911e+10,0.010581,0.023603,22.835,11.153,7.8036,65.763,3.3439,1.4993e-05,3575.9
1,5,4,0.862,56.1,1,0.30302,4.5321,387.93,5629.4,0.10103,0.033105,0.10944,0.42585,1759.6,5.2982e+09,0.0061746,0.011393,18.888,7.8728,4.3326,48.888,1.3455,1.0525e-05,1556.2
1,5,5,1.03,61.9,1,0.22056,3.3248,280.93,3489.8,0.086431,0.02455,0.056152,0.26526,996.36,2.7673e+09,0.0045499,0.0070105,17.674,6.7451,3.0515,43.226,0.7667,8.6098e-06,917.44
1,5,6,1.25,41.7,1,0.15445,2.308,204.06,2803.1,0.063082,0.017304,0.026195,0.15055,622.23,2.6338e+09,0.0024898,0.0037313,16.341,5.707,2.0356,30.246,0.43047,7.3666e-06,515.32
1,6,1,0.542,73.4,1,0.7485,12.716,958.85,13289,0.16383,0.072415,0.64258,1.9114,9834.9,1.7945e+10,0.013888,0.038511,26.733,14.484,11.751,70.572,6.773,2.0102e-05,6113.8
1,6,2,0.597,69.4,1,0.6045,10.131,773.08,11222,0.13614,0.058443,0.4322,1.394,6794,1.4789e+10,0.010578,0.02819,23.618,11.939,9.1171,58.189,4.8577,1.6126e-05,4517.8
1,6,3,0.681,50.2,1,0.48512,8.0109,620.25,8373.8,0.1217,0.047744,0.26633,0.96998,4263,9.7498e+09,0.0084848,0.020295,22.419,10.37,7.011,53.921,3.1973,1.3904e-05,3066
1,6,4,0.826,19,1,0.31304,5.2039,403.28,5546,0.091849,0.032939,0.11373,0.51523,2025.8,5.3637e+09,0.0052258,0.011537,19.404,7.9872,4.4452,41.127,1.5493,1.1077e-05,1647.4
1,6,5,1.01,11.5,1,0.21911,3.6968,289.71,3648.8,0.070226,0.023405,0.05505,0.30868,1334.1,4.0385e+09,0.0028218,0.0064247,18.071,6.6604,2.9453,31.043,0.83575,8.9033e-06,873.75
1,6,6,1.16,13.3,1,0.16239,2.7329,214.34,2928.1,0.060706,0.01756,0.030563,0.19878,742.99,2.7672e+09,0.0023539,0.0038746,16.807,5.877,2.1137,27.697,0.52924,7.3412e-06,550.86
1,7,1,0.511,88.9,1,0.75991,12.656,984.9,12212,0.17868,0.084,0.61618,1.6613,9472.5,1.4619e+10,0.01478,0.045082,29.47,16.53,13.378,75.858,7.4006,2.1474e-05,6449.9
1,7,2,0.568,67.6,1,0.64385,10.369,820.99,9892.9,0.15817,0.069687,0.42718,1.221,6654.1,1.0973e+10,0.012139,0.034193,26.889,14.084,10.66,71.227,5.1726,1.7983e-05,4814.2
