c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
1,1,2,0.581,41,1,0.72639,19.476,975.99,14762,0.23131,0.10319,0.51074,4.785,8163.8,2.4598e+10,0.01593,0.044367,87.785,34.094,13.996,80.938,6.3829,3.3959e-05,6300.6
1,1,3,0.645,14.9,1,0.54129,14.953,724.03,10226,0.18882,0.080535,0.29029,3.0958,4838.7,1.3991e+10,0.011853,0.031408,81.407,30.066,10.688,67.221,4.299,2.7611e-05,3833.5
1,1,4,0.85,22.3,1,0.23588,7.8632,329.15,4698.7,0.10228,0.038431,0.04819,1.1372,1190.2,4.8144e+09,0.0039879,0.010942,59.767,19.814,4.664,36.407,1.1432,1.5668e-05,1013.4
1,1,5,0.995,3.13,1,0.15467,5.4834,221.21,3069.2,0.091159,0.028632,0.018923,0.6667,514.96,2.4209e+09,0.0033168,0.0078006,51.575,16.77,3.3252,30.948,0.51494,1.3573e-05,497.85
1,1,6,1.23,30,1,0.098989,2.8924,141.81,2322.2,0.074758,0.022322,0.0081512,0.20843,217.55,1.5595e+09,0.0032897,0.0060631,42.861,13.935,2.4492,26.577,0.23223,9.1102e-06,314.85
1,1,7,1.38,23,1,0.083007,2.4722,119.42,1901.9,0.066282,0.018598,0.0062018,0.23505,167.08,1.1522e+09,0.0024205,0.0046545,37.221,11.981,2.022,21.132,0.17461,8.5795e-06,187.35
1,2,2,0.544,154,1,1.0095,23.85,1359.6,18553,0.28978,0.13083,0.99321,6.1963,15557,3.9944e+10,0.021429,0.062228,98.151,39.76,18.376,95.307,9.2407,4.6508e-05,9752.6
1,2,3,0.616,54,1,0.65688,16.892,860.34,12434,0.21158,0.085838,0.42553,3.4163,6810,1.9913e+10,0.013324,0.034882,85.22,31.98,11.717,70.894,5.0504,3.3083e-05,4814.2
1,2,4,0.821,31.5,1,0.32031,11.061,436.63,6692.6,0.13367,0.046189,0.10339,2.3709,2318.1,9.7967e+09,0.0059168,0.015675,59.474,20.447,5.7053,47.037,1.5743,1.9523e-05,1644.7
1,2,5,1.05,42.1,1,0.18718,6.8534,258.09,3644.9,0.090323,0.030209,0.039262,1.1891,1008.2,3.4521e+09,0.0031853,0.0089079,47.887,15.913,3.5238,30.97,0.66204,1.2608e-05,673.71
