c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumumber
1,1,2,0.581,41,1,0.89717,11.916,1127.4,15918,0.37738,0.14418,40.157
1,1,3,0.645,14.9,1,0.70898,9.0719,877,11203,0.33052,0.11906,34.838
1,1,4,0.85,22.3,1,0.29995,4.052,357.9,4592.9,0.17533,0.049381,16.218
1,1,5,0.995,3.13,1,0.18143,2.6404,212.29,2925.6,0.14033,0.036536,13.065
1,1,6,1.23,30,1,0.11575,1.6525,132.53,1967.8,0.10615,0.02965,10.825
1,1,7,1.38,23,1,0.090352,1.1424,108.16,1542.2,0.097489,0.031512,11.034
1,2,2,0.544,154,1,1.2408,15.674,1560.8,19776,0.46247,0.176,47.254
1,2,3,0.616,54,1,0.85995,10.878,1060.5,13307,0.35282,0.12581,34.903
1,2,4,0.821,31.5,1,0.39339,4.8755,470.49,6506.9,0.20178,0.067832,20.866
1,2,5,1.05,42.1,1,0.21082,2.8272,256.42,3266.8,0.14523,0.042905,14.202
1,2,6,1.17,55.5,1,0.13836,2.1605,168.08,2302.6,0.10342,0.033201,11.525
1,2,7,1.35,37.2,1,0.10955,1.6661,131.82,1837.6,0.10296,0.031396,10.98
1,3,2,0.558,65,1,1.5987,13.49,1865.2,24787,0.52941,0.19013,48.201
1,3,3,0.665,13.2,1,1.0207,7.7403,1204.8,15351,0.46265,0.14547,38.955
1,3,4,0.85,20.6,1,0.4542,3.7356,524.8,6789.2,0.29814,0.077416,22.916
1,3,5,1.1,8.07,1,0.2216,1.992,263.12,4070.8,0.23728,0.048183,15.768
1,3,6,1.28,3.42,1,0.16879,1.4725,192.11,2996,0.18053,0.046415,15.227
1,4,2,0.624,58.3,1,0.8775,10.5,1084.2,12400,0.39443,0.14866,40.941
1,4,3,0.733,14.2,1,0.49156,5.8552,585.71,6968.4,0.23957,0.084452,25.285
1,4,4,0.851,13.4,1,0.30337,3.8807,361.44,4377.2,0.17633,0.049335,15.777
